timestamp,symbol,pct_change,vol_change,rsi,funding,type,tag,confidence,entry_price
2025-07-17 09:08:56,MUSDT,-0.98,2.13,32.96,0.0013,SELL,💢 가속급락,60,0.3836
2025-07-17 09:08:58,VELVETUSDT,2.03,6.13,61.46,0.005,BUY,📈 고점돌파,100,0.06084
2025-07-17 09:13:14,HMSTRUSDT,0.85,1.68,55.36,0.005,BUY,🔂 눌림목반등,40,0.000828
2025-07-17 09:17:53,FARTCOINUSDT,1.79,2.24,74.91,0.0325,BUY,📈 고점돌파,90,1.4721
2025-07-17 09:22:43,PEOPLEUSDT,0.73,1.43,59.86,0.01,BUY,🔂 눌림목반등,30,0.0233
2025-07-17 09:22:50,BNTUSDT,1.31,8.52,69.65,0.01,BUY,📈 고점돌파,80,0.75627
2025-07-17 09:22:52,CYBERUSDT,0.93,6.75,70.13,0.005,BUY,📊 가속상승,80,1.742
2025-07-17 09:22:57,1000RATSUSDT,0.85,4.21,62.77,0.0223,BUY,📊 가속상승,70,0.02256
2025-07-17 09:22:59,WIFUSDT,0.78,1.53,57.87,0.005,BUY,🔂 눌림목반등,40,1.0974
2025-07-17 09:23:01,PORTALUSDT,0.82,2.06,65.32,0.005,BUY,📊 가속상승,60,0.05776
2025-07-17 09:23:03,MYROUSDT,1.63,2.77,70.85,0.0176,BUY,📈 고점돌파,90,0.02562
2025-07-17 09:23:04,BOMEUSDT,1.16,1.51,55.63,0.005,BUY,🔂 눌림목반등,50,0.002182
2025-07-17 09:23:07,PIPPINUSDT,0.82,4.14,58.33,0.0201,BUY,📊 가속상승,60,0.0184
2025-07-17 09:23:11,RESOLVUSDT,0.93,2.24,61.22,0.005,BUY,📊 가속상승,60,0.15574
2025-07-17 09:23:12,PUMPBTCUSDT,0.66,4.2,76.77,0.005,BUY,🔍 관망시그널,80,0.04128
2025-07-17 09:23:13,DMCUSDT,1.05,1.47,52.41,0.005,BUY,🔂 눌림목반등,40,0.004909
2025-07-17 09:28:50,BIDUSDT,-1.41,2.21,48.95,-0.0069,SELL,💢 가속급락,60,0.13673
2025-07-17 09:28:53,CTKUSDT,-1.06,1.41,57.5,-0.0365,SELL,🔃 기술적되돌림,40,0.3362
2025-07-17 09:37:38,CFXUSDT,-0.71,3.05,47.84,0.01,SELL,🔍 관망시그널,60,0.10103
2025-07-17 09:39:43,HAEDALUSDT,1.95,1.48,73.91,0.005,BUY,🔍 관망시그널,70,0.271442
2025-07-17 09:39:44,1000000BOBUSDT,1.45,1.43,61.07,0.005,BUY,🔍 관망시그널,50,0.06023
2025-07-17 09:41:43,HIPPOUSDT,1.36,3.18,71.74,0.0385,BUY,📈 고점돌파,90,0.002757
2025-07-17 09:43:44,RLCUSDT,0.62,11.21,87.39,0.01,BUY,🔍 관망시그널,80,1.1429
2025-07-17 09:43:52,KERNELUSDT,0.82,2.54,84.95,0.005,BUY,📊 가속상승,70,0.1599
2025-07-17 09:43:53,HYPERUSDT,0.88,2.7,56.7,-0.0175,BUY,📊 가속상승,50,0.4024
2025-07-17 09:46:10,CKBUSDT,0.61,12.1,74.34,0.01,BUY,🔍 관망시그널,80,0.004463
2025-07-17 09:48:23,BDXNUSDT,0.85,4.48,51.85,0.0224,BUY,🔂 눌림목반등,60,0.03816
2025-07-17 09:52:53,FIDAUSDT,-0.9,5.49,50.87,0.005,SELL,💢 가속급락,60,0.0933
2025-07-17 09:52:55,BROCCOLI714USDT,1.14,2.36,72.35,0.005,BUY,📊 가속상승,80,0.05168
2025-07-17 09:55:00,AWEUSDT,0.63,1.9,72.97,0.005,BUY,🔍 관망시그널,60,0.060677
2025-07-17 09:57:25,AINUSDT,-1.49,3.37,27.6,0.008,SELL,💢 가속급락,90,0.12176
2025-07-17 09:59:24,HOOKUSDT,-0.71,2.24,43.1,0.01,SELL,🔍 관망시그널,50,0.126
2025-07-17 09:59:26,STRKUSDT,-0.96,1.83,56.82,0.005,SELL,💢 가속급락,40,0.1451
2025-07-17 09:59:28,BRETTUSDT,-0.92,1.71,61.66,0.005,SELL,💢 가속급락,50,0.06267
2025-07-17 10:02:08,AGTUSDT,1.02,6.6,65.41,0.005,BUY,📊 가속상승,80,0.006516
2025-07-17 10:04:09,NEIROUSDT,-0.88,2.74,61.21,0.005,SELL,🔃 기술적되돌림,60,0.0005619
2025-07-17 10:04:15,MERLUSDT,-0.78,7.35,53.88,0.005,SELL,🔃 기술적되돌림,60,0.11272
2025-07-17 10:08:18,LRCUSDT,0.62,1.48,61.06,0.01,BUY,🔍 관망시그널,40,0.08865
2025-07-17 10:08:22,MOODENGUSDT,0.81,1.81,78.29,0.005,BUY,📊 가속상승,60,0.21181
2025-07-17 10:14:24,LEVERUSDT,-1.8,3.68,28.87,0.1317,SELL,📉 지지이탈,100,0.0002074
